THREAD,256,512,1024
1,1.0,1.0,1.0
2,1.8964,1.9412,1.9592
4,3.511,3.7537,3.8026
8,3.9486,4.1788,3.9227
16,1.231,2.5761,3.33
32,0.7208,1.8589,2.898
